record_id,study_family_id,year,domain,design,timing,finding,source_id,higher_confidence_eligible
SCZ001,TANDON_2024,2024,construct,Expert iterative review,mixed,"Schizophrenia is described as a heritable, complex, multidimensional syndrome with psychotic, negative, cognitive, mood and motor manifestations and variable course.",PMID:38086109,yes
SCZ002,SULLIVAN_GENOMICS_2024,2024,genetics,Genomics review,trait,"~300 common and >20 rare variants implicate highly polygenic, mechanistically complex risk rather than a small set of discrete genetic diseases.",PMID:39030273,yes
SCZ003,TRRIP_CONSENSUS,2017,definition,Systematic review + consensus,post-treatment,TRS requires persistent symptoms despite at least two adequate antipsychotic trials with adherence assessment; historical definitions varied markedly.,PMID:27919182,yes
SCZ004,DANISH_TRS,2016,treatment_resistance,Population cohort n=8624,first-contact-to-TRS,21% met a treatment-based TRS proxy; baseline factors predicted later TRS but the endpoint depended on treatment pathway/proxy definition.,PMID:26922475,yes
SCZ005,TRS_PROSPECTIVE_REVIEW,2021,treatment_resistance,Systematic review prospective studies,first episode,"12 prospective first-episode studies; younger age at onset was the most consistent predictor, but no decisive pretreatment classifier.",PMID:31462334,yes
SCZ006,EARLY_TRS_2025,2025,treatment_resistance,First-episode psychosis study/review,early course,"Early treatment resistance occurs in first-episode psychosis, supporting a subgroup that can emerge early rather than only after chronic illness.",PMID:39547704,yes
SCZ007,TRS_BIOMARKER_REVIEW_2024,2024,biomarkers,Systematic review 75 articles,mixed,TRS biomarker studies show heterogeneity in definitions and samples; heritability and inflammatory signals are promising but no validated pretreatment biomarker exists.,DOI:10.1016/j.nsa.2024.104059,yes
SCZ008,HOWES_DOPA_2012,2012,dopamine,18F-DOPA PET,established TRS,"TRS showed lower/normal striatal dopamine synthesis than responders, suggesting possible non-hyperdopaminergic biology in a subset.",PMID:23034655,yes
SCZ009,DEMJEN_DOPA_2017,2017,dopamine,18F-DOPA PET symptom-matched,clozapine-responsive TRS,Clozapine-treated prior nonresponders had lower dopamine synthesis than first-line responders despite symptom matching; small sample.,PMID:27857125,yes
SCZ010,DOPA_REVIEW_2023,2023,dopamine,Systematic critical review,mixed,TRS dopamine mechanisms are heterogeneous; low/normal presynaptic dopamine is one proposed route among multiple D2-related mechanisms.,PMID:36979877,yes
SCZ011,TRS_GENETIC_DOPA_2025,2025,genetics_dopamine,Genetic/PET translational study,trait,"Polygenic risk for TRS was associated with dopamine-system variation in healthy individuals, supporting biological liability but not a discrete disease boundary.",PMID:39730881,yes
SCZ012,TRS_TWAS_2024,2024,genetics,Gene-expression imputation/TWAS,trait,TRS polygenic risk maps to biological pathways but remains polygenic and requires external/clinical validation.,PMID:38198858,yes
SCZ013,IMMUNOPHENO_2025,2025,immune,Flow-cytometry response-stratified cohort n=196,established response groups,"Immune-cell patterns differed across antipsychotic-responsive, clozapine-responsive and clozapine-resistant groups; cross-sectional response stratification.",PMID:39414177,yes
SCZ014,IMMUNE_ML_2025,2025,immune,Inflammatory proteomics + SVM,established response groups,Inflammatory proteins classified responsive/clozapine-responsive/clozapine-resistant groups with internal cross-validation; no external prospective validation.,PMID:39952924,no
SCZ015,TRS_GLU_GABA_2024,2024,glutamate,Systematic review MRS,TRS/clozapine response,Glutamate/GABA/NAA findings suggest biological differences in TRS and clozapine response but are heterogeneous and not a stable classifier.,PMID:39566584,yes
SCZ016,CLOZAPINE_MECH_2025,2025,treatment_mechanism,Mechanistic review,TRS,"Clozapine's unique efficacy may involve muscarinic, glutamatergic, immune and other mechanisms; mechanism remains unresolved.",PMID:40562225,yes
SCZ017,BSNIP_REPLICATION,2022,biotypes,Large replication study,trait,"Three psychosis Biotypes based on cognition, oculomotor and EEG/ERP measures replicated across large samples with high biomarker and temporal stability.",PMCID:PMC8781330,yes
SCZ018,BSNIP_AMYGDALA,2021,biotypes,Multisite imaging validation n=811,trait,"B-SNIP Biotypes showed stronger amygdala/hippocampal differences than DSM diagnoses, providing external neuroanatomical validation.",PMID:34254147,yes
SCZ019,BSNIP_ADEPT,2023,biotypes,Clinical algorithm n=1907,trait,"Clinical features predicted psychosis Biotypes with reasonable accuracy, supporting operationalization but not treatment utility.",PMID:37657281,yes
SCZ020,BSNIP_FAMILY_2025,2025,biotypes,Large biomarker + relatives study,trait/familial,"Three Biotypes were stable in >1000 cases and relatives shared parts of biomarker patterns, supporting familial biological validity.",PMID:40813865,yes
SCZ021,BSNIP_CATEGORIES_DIMENSIONS_2024,2024,biotypes,Conceptual/empirical review,trait,"Conventional psychosis diagnoses showed continua, whereas transdiagnostic Biotypes had external validation; biological structure crossed DSM boundaries.",PMID:39562461,yes
SCZ022,BSNIP_DIMENSIONS,2019,dimensions,Transdiagnostic factor analysis,trait,"General plus positive, negative, disorganized, manic and depressive dimensions fit psychosis better and predicted Biotypes beyond DSM categories.",PMID:30600629,yes
SCZ023,COGNITIVE_CLUSTERS_2022,2022,cognition,Patient/sibling clustering,trait,"Normal, intermediate and impaired cognitive clusters were identified; siblings were enriched in intermediate cluster and brain-volume differences tracked cluster membership.",PMID:35853888,yes
SCZ024,COGNITIVE_CURVATURE_2024,2024,cognition,Two-sample ML imaging validation,trait,High- and low-cognition schizophrenia profiles were classified across discovery and independent validation samples (AUC ~0.76/0.73).,PMID:38531143,yes
SCZ025,NEG_SOCIAL_COG_2025,2025,negative_cognition,Two independent cluster analyses,current phenotype,"Negative symptom/social-cognition clusters reproduced across independent samples, supporting phenotypic structure but not distinct disease ontology.",PMID:40576457,yes
SCZ026,DEFICIT_META,2018,negative_symptoms,Meta-analysis,persistent phenotype,Deficit syndrome/primary enduring negative symptoms occurred in roughly one-third across included cohorts; proposed as relatively homogeneous subgroup.,PMCID:PMC5795038,yes
SCZ027,DMN_NEGATIVE_2025,2025,negative_imaging,Two independent rsfMRI datasets,current phenotype,"DMN topology/connectivity abnormalities replicated and correlated with avolition/apathy, supporting a dimensional neural correlate of negative symptoms.",PMID:40203641,yes
SCZ028,NEUROIMAGING_SUBTYPE_REVIEW_2026,2026,imaging_subtypes,Critical review of clustering studies,trait,No macroscale neuroimaging subtype profile was consistently reproduced; reported subtypes may reflect continuous variation.,PMID:42318040,yes
