query_id,batch,purpose,normalized_query,raw_query_status,result_count
Q001,1,NMOSD,"neuromyelitis optica historically considered multiple sclerosis AQP4 separate disease review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q002,1,GIST,"GIST history formerly smooth muscle tumor KIT imatinib reclassification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q003,1,CML,"CML Philadelphia chromosome BCR ABL disease classification history",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q004,1,Burkitt,"Burkitt lymphoma discovery Africa history EBV MYC classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q005,1,Narcolepsy,"narcolepsy type 1 type 2 classification hypocretin diagnostic stability review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q006,1,Autism,"DSM autism Asperger PDD NOS merged DSM-5 reliability validity",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q007,1,Heart failure,"heart failure preserved reduced ejection fraction arbitrary cutoff heterogeneity classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q008,1,NSCLC,"non small cell lung cancer molecular subtypes EGFR ALK targeted therapy classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q009,2,GIST,"gastrointestinal stromal tumor smooth muscle reclassified KIT PDGFRA historical review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q010,2,CML,"Philadelphia chromosome BCR ABL historical discovery targeted therapy review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q011,2,Narcolepsy,"narcolepsy type 2 diagnostic instability MSLT repeat classification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q012,2,MODY,"MODY monogenic diabetes misdiagnosed type 1 type 2 genetic diagnosis treatment",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q013,2,pRCC,"papillary renal cell carcinoma type 1 type 2 WHO 2022 classification removed",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q014,2,Sepsis,"Sepsis-3 severe sepsis removed redundant SIRS definition history",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q015,2,Psychosis,"bipolar schizophrenia Kraepelin dichotomy genetics continuum review",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q016,2,Depression historical control,"reactive endogenous depression historical subtype validity reclassification",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q017,3,GIST,"KIT mutation GIST imatinib historical classification primary source",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q018,3,CML,"BCR ABL CML causal lesion history primary source",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q019,3,Burkitt,"Burkitt lymphoma endemic sporadic immunodeficiency WHO classification EBV status",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q020,3,NMOSD,"AQP4 antibody NMO distinct from multiple sclerosis historical criteria",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q021,3,MOGAD,"MOGAD distinct disease MS NMOSD cell based assay diagnostic criteria",RECONSTRUCTED_FROM_RUN_CONTEXT,
Q022,3,Leprosy,"Ridley Jopling leprosy spectrum immunological classification history",RECONSTRUCTED_FROM_RUN_CONTEXT,
