case_id,unified_entity,later_classification,division_class,status,scientific_basis,context_attribution,key_source
HIST001,"Diabetes mellitus","Type 1 vs Type 2 diabetes",DISTINCT_DISEASE,ACCEPTED,"Clinical heterogeneity followed by reproducible differences in beta-cell failure/autoimmunity versus insulin resistance, natural history and treatment logic.",SCIENCE_MAJOR_CONTEXT_ENABLED,"NDDG 1979 Diabetes 28:1039-1057 doi:10.2337/diab.28.12.1039"
HIST002,"Chronic nonspecific inflammatory intestinal disease","Crohn disease vs ulcerative colitis",DISTINCT_DISEASE,ACCEPTED,"Reproducible clinical, anatomic and pathological differences; later natural-history and therapeutic distinctions.",SCIENCE_MAJOR_TECH_INSTITUTION_ENABLED,"Crohn et al JAMA 1932 doi:10.1001/jama.1932.02740680019005"
HIST003,"Epidemic/viral hepatitis","Hepatitis A, B, non-A/non-B/C and later viral entities",DISTINCT_DISEASE,ACCEPTED,"Different transmission/incubation and lack of cross-immunity preceded distinct viral agents, serology, epidemiology and treatment/prevention.",CONTEXT_MAJOR_FOR_TIMING_SCIENCE_VALIDATED,"Dooley Mil Med 2005 doi:10.7205/MILMED.170.4S.71; PMCID:PMC6496330"
HIST004,"Acute leukemia/AML","Acute promyelocytic leukemia",BIOLOGICAL_SUBTYPE,ACCEPTED,"Distinct morphology/coagulopathy, t(15;17), PML::RARA and extraordinary ATRA/arsenic response.",CONTEXT_MAJOR_SUPPRESSIVE_SCIENCE_VALIDATED,"PMCID:PMC3248344; PMID:23645104"
HIST005,"Breast cancer","HER2-positive and other molecular subtypes",BIOLOGICAL_SUBTYPE,ACCEPTED,"HER2 amplification/overexpression, aggressive biology and strong treatment-by-biomarker benefit with HER2-directed therapy.",MIXED_SCIENCE_TRANSLATIONAL_CONTEXT,"NCI HER2 history; trastuzumab/companion diagnostic history PMID:34367962"
HIST006,"Asthma","T2-high/T2-low and other mechanistic endotypes",MECHANISTIC_ENDOTYPE,ACCEPTED_WITH_BOUNDARY_LIMITS,"Inflammatory pathways and biomarkers predict biologic-treatment relevance, but thresholds and endotype stability can vary.",MIXED_SCIENCE_TECH_COMMERCIAL,"PMCID:PMC6411459"
HIST007,"Multiple sclerosis","Relapsing/remitting and progressive phenotypes/states",DISEASE_STAGE_PHENOTYPE,ACCEPTED_OPERATIONAL,"Longitudinal course patterns useful for prognosis/trials/treatment; original classifications were clinical and lacked objective biological separators.",OPERATIONAL_CONTEXT_MAJOR,"Lublin et al Neurology 2014 doi:10.1212/WNL.0000000000000560"
HIST008,"Schizophrenia","Paranoid/disorganized/catatonic/undifferentiated/residual subtypes",FAILED_SYMPTOM_SUBTYPES,FAILED_OR_ABANDONED,"Predominant-symptom subtypes lacked longitudinal stability, reliability, validity, outcome prediction and distinctive treatment response.",CONTEXT_INERTIA_MAJOR,"PMCID:PMC4100404; PMCID:PMC3686462"
HIST009,"Chronic granulocytic/myeloid leukemia phenotype","BCR::ABL1-positive chronic myeloid leukemia",DISTINCT_MOLECULAR_DISEASE,ACCEPTED,"Philadelphia chromosome, t(9;22), BCR::ABL1 causal oncogene and target-specific TKI response.",SCIENCE_MAJOR_TECH_ENABLED,"PMCID:PMC7827482; JCI CML historical reviews"
HIST010,"Gastrointestinal smooth-muscle/mesenchymal tumors","Gastrointestinal stromal tumor",DISTINCT_MOLECULAR_DISEASE,ACCEPTED,"KIT/PDGFRA pathway, interstitial-cell-of-Cajal phenotype and selective imatinib response separated GIST from prior smooth-muscle categories.",SCIENCE_MAJOR_TRANSLATIONAL_CONTEXT,"Hirota et al Science 1998 doi:10.1126/science.279.5350.577; FDA imatinib GIST approval 2002"
