query_id,run_date,query,domain_filter,purpose,result_count
Q001,2026-08-04,pretreatment CRP IL-6 TNF antidepressant response major depressive disorder prospective systematic review treatment resistant depression,pubmed.ncbi.nlm.nih.gov,support/overview,
Q002,2026-08-04,baseline inflammation predicts antidepressant nonresponse major depression prospective CRP IL-6 replication,pmc.ncbi.nlm.nih.gov,support/replication,
Q003,2026-08-04,treatment resistant depression CRP baseline inflammation antidepressant response study,pubmed.ncbi.nlm.nih.gov,TRD evidence,
Q004,2026-08-04,inflammation biomarker antidepressant treatment interaction CRP escitalopram nortriptyline depression,pubmed.ncbi.nlm.nih.gov,treatment interaction,
Q005,2026-08-04,clinicaltrials treatment resistant depression inflammation biomarker CRP registry completed no results,clinicaltrials.gov,missing evidence/registry,
Q006,2026-08-04,meta-analysis inflammatory markers antidepressant response depression CRP IL-6 TNF null,pubmed.ncbi.nlm.nih.gov,contradiction/meta-analysis,
Q007,2026-08-04,Uher CRP escitalopram nortriptyline inflammatory biomarker treatment response depression GENDEP,pubmed.ncbi.nlm.nih.gov,sentinel GENDEP,
Q008,2026-08-04,GENDEP CRP escitalopram nortriptyline C reactive protein depression treatment interaction,pmc.ncbi.nlm.nih.gov,sentinel GENDEP,
Q009,2026-08-04,baseline CRP predicts antidepressant response CO-MED EMBARC depression inflammation,pubmed.ncbi.nlm.nih.gov,replication cohorts,
Q010,2026-08-04,EMBARC inflammation CRP antidepressant response sertraline placebo depression,pubmed.ncbi.nlm.nih.gov,sentinel EMBARC,
Q011,2026-08-04,CO-MED CRP treatment response escitalopram bupropion depression inflammation,pubmed.ncbi.nlm.nih.gov,sentinel CO-MED,
Q012,2026-08-04,inflammation treatment resistant depression prospective first episode antidepressant resistance biomarker validation,pubmed.ncbi.nlm.nih.gov,temporality,
Q013,2026-08-04,Hummad inflammatory markers predictors antidepressants meta-analysis 2026 Cureus DOI,pubmed.ncbi.nlm.nih.gov,latest synthesis verification,
Q014,2026-08-04,"C-reactive protein escitalopram nortriptyline GENDEP Uher",,GENDEP exact,
Q015,2026-08-04,"C-reactive protein nortriptyline escitalopram depression Uher",,GENDEP exact,
Q016,2026-08-04,"CRP escitalopram nortriptyline GENDEP",,GENDEP exact,
Q017,2026-08-04,"inflammation GENDEP antidepressant response",,GENDEP companion publications,
Q018,2026-08-04,NCT01407094 EMBARC CRP inflammatory marker protocol sertraline placebo biomarkers,clinicaltrials.gov,registry provenance,
Q019,2026-08-04,ISRCTN03693000 GENDEP CRP protocol escitalopram nortriptyline biomarker,,registry provenance,
Q020,2026-08-04,CO-MED trial NCT00590863 CRP biomarker protocol inflammation antidepressant,clinicaltrials.gov,registry provenance,
Q021,2026-08-04,Jha CRP escitalopram bupropion CO-MED 2017 PMID,pubmed.ncbi.nlm.nih.gov,CO-MED exact,
Q022,2026-08-04,infliximab TRD NCT00463580 results registry baseline CRP primary secondary outcome,clinicaltrials.gov,registry provenance,
Q023,2026-08-04,infliximab depression NCT00463580 publication protocol outcome CRP secondary,,registry/publication matching,
Q024,2026-08-04,"Interleukin 6 as a Treatment Target for Depression JAMA Psychiatry 2026 tocilizumab",jamanetwork.com,latest immune RCT,
Q025,2026-08-04,tocilizumab difficult-to-treat depression hs-CRP randomized trial 2026,pubmed.ncbi.nlm.nih.gov,latest immune RCT,
Q026,2026-08-04,"e107728 Cureus inflammatory markers predictors response antidepressants full text",,meta-analysis full text,
Q027,2026-08-04,"Hummad e107728 Table 1",,meta-analysis study table,
Q028,2026-08-04,"Hummad PROSPERO antidepressant inflammatory meta-analysis",,protocol registration,
Q029,2026-08-04,"Treatment-resistant depression and peripheral C-reactive protein Chamberlain 2019 PubMed",,TRD CRP exact,
Q030,2026-08-04,"Chamberlain C-reactive protein treatment-resistant depression 2019 214 11 19",,TRD CRP exact,
Q031,2026-08-04,"Strawbridge 134 treatment resistant depression inflammatory markers responders healthy controls",,study verification,
Q032,2026-08-04,"Raison infliximab included meta-analysis antidepressant response CRP baseline 60 treatment resistant depression",,study verification,
Q033,2026-08-04,"Strawbridge treatment-resistant depression inflammation 134 responders healthy controls",,study verification,
Q034,2026-08-04,"Strawbridge inflammatory markers treatment resistant depression 134 case control",,study verification,
Q035,2026-08-04,"treatment-naive first episode depression inflammation predicts treatment resistance multiple antidepressant failures prospective",pubmed.ncbi.nlm.nih.gov,decisive temporality search,
Q036,2026-08-04,"first episode depression CRP IL-6 prospective treatment resistant antidepressant nonresponse longitudinal",pubmed.ncbi.nlm.nih.gov,decisive temporality search,
Q037,2026-08-04,"treatment naive MDD CRP antidepressant response prospective IL-6",pubmed.ncbi.nlm.nih.gov,decisive temporality search,
Q038,2026-08-04,"prospective treatment-resistant depression CRP baseline first episode",pubmed.ncbi.nlm.nih.gov,decisive temporality search,
