record_id,family_root,year,domain,design,timing,evidence_scope,finding,source_id,higher_confidence_eligible
SCZ033,SUSTAIN_SZ_2024,2024,imaging_subtypes,large multisite structural MRI SuStaIn,trait,schizophrenia_internal,"Large multisite analysis identified cortical-predominant and subcortical-predominant neurostructural trajectories/subgroups across thousands of cases and controls; important positive evidence but not sufficient to resolve field-wide reproducibility concerns.",Nature Communications 2024 SuStaIn schizophrenia study,yes
SCZ034,BYUN_CLINICAL_SUBTYPES_2025,2025,multimodal_phenotype,12-month international multisite clinical cognitive functional digital study,current/longitudinal,schizophrenia_internal,"Three clinical-functional clusters were identified and framed as foundations for future validation rather than established diseases.",PMID:40394283,yes
SCZ035,TRS_IMMUNE_REVIEW_2026,2026,immune,Systematic review,mixed,TRS,"TRS shows recurring immune-inflammatory differences including cytokine and immune-cell findings, but clozapine/treatment effects and methodological heterogeneity limit etiologic interpretation.",PMID:42123331; DOI:10.3390/ijms27093745,yes
SCZ036,DEFICIT_INSIGHT_META_2026,2026,negative_symptoms,meta-analysis,persistent phenotype,schizophrenia_internal,"Deficit schizophrenia showed poorer insight than nondeficit schizophrenia, strengthening clinical phenotype differentiation without establishing a separate etiologic disease.",DOI:10.1016/j.jpsychires.2025.11.012,yes
SCZ037,CLOZAPINE_IPD_META_2025,2025,treatment,individual-participant/meta-analytic treatment comparison,TRS,TRS,"Clozapine-versus-other-antipsychotic evidence reinforces a distinctive treatment pathway for TRS but treatment response alone does not establish ontology.",PMID:40023172,yes
SCZ038,BSNIP,2025,biotypes_genetics,TWAS/MR within B-SNIP family,trait,transdiagnostic_psychosis,"Biotype-specific transcriptomic signals and MR-prioritized genes add genetic coherence, while the Biotypes continue to cross schizophrenia, schizoaffective and bipolar psychosis boundaries.",Molecular Psychiatry 2025 B-SNIP genetics study,yes
SCZ039,TRS_GWAS_2024,2024,genetics,GWAS/clinical-trial genetics,post-treatment,TRS,"Common-variant signal contributes to treatment-response heterogeneity but does not define a categorical TRS disease.",PMCID:PMC11438281,yes
SCZ040,TRS_PRS_LARGE,2022,genetics,large genetic treatment-response analysis,post-treatment,TRS,"Polygenic liability relates to treatment complexity/resistance but remains distributed and overlapping rather than a single etiologic separator.",PMCID:PMC8756361,yes
SCZ041,GRIN2A_NULL_2026,2026,rare_etiology,global rare-variant registry plus population comparison,trait/pre-onset,etiologic_exception,"Pathogenic GRIN2A null variants confer high risk for early-onset psychiatric disorders including schizophrenia-spectrum psychosis and create a plausible precision-treatment subgroup; phenotype extends beyond schizophrenia.",PMID:41087560; DOI:10.1038/s41380-025-03279-4,yes
SCZ042,BSNIP_ADEPT_PROSPECTIVE,2026,biotypes_utility,prospective early-psychosis protocol,early course,transdiagnostic_psychosis,"Prospective ADEPT/B-SNIP-style testing is positioned to assess longitudinal and clinical utility of biotype assignment; outcome evidence is not yet available.",ClinicalTrials.gov NCT06740383,no
SCZ043,22Q11_PSYCHOSIS_REVIEW_2024,2024,rare_etiology,systematic review,trait/longitudinal,etiologic_exception,"22q11.2 deletion syndrome confers major psychosis/schizophrenia risk and represents a genetically defined syndrome that can present with a schizophrenia phenotype; treatment evidence remains limited.",PMID:38383990,yes
SCZ044,FEP_AUTOIMMUNE_2025,2025,autoimmune_etiology,prospective first-episode psychosis workup,first episode,etiologic_exception,"A small subset of first-episode psychosis has autoimmune encephalitis or clinically significant neural-autoimmune findings, supporting etiologic exclusion/subclassification when neurological or laboratory evidence is present.",PMID:41308242,yes
SCZ045,AUTOIMMUNE_PSYCHOSIS_CRITERIA_2025,2025,autoimmune_etiology,prospective/clinical criteria validation,early/persistent psychosis,etiologic_exception,"Clinical risk stratification can enrich psychosis populations for antineuronal-antibody/autoimmune evaluation; this defines secondary etiologies rather than an idiopathic schizophrenia subtype.",PMID:41341526,yes
SCZ046,CROSS_DISORDER_GENETICS_2025,2025,genetics,genomic factor analysis 14 psychiatric disorders >1M cases,trait,transdiagnostic,"Five genomic factors explained much shared psychiatric genetic variance; schizophrenia and bipolar disorder formed a highly overlapping factor with very few disorder-specific loci, weakening a clean schizophrenia-specific common-variant boundary.",DOI:10.1038/s41586-025-09820-3,yes
SCZ047,EF_SUBTYPES_2026,2026,cognitive_subtypes,cross-time fuzzy clustering plus independent local validation,baseline/longitudinal,schizophrenia_internal,"EF-Focal and EF-Global subtypes were longitudinally stable, differed in symptoms/inflammatory-metabolic markers, classified in an independent local sample (AUC 0.79), and predicted remission independently of baseline severity (AUC 0.78).",PMID:42178548; DOI:10.1186/s12916-026-04955-0,yes
SCZ048,BIOERES_2026,2026,TRS_prediction,first-episode longitudinal CSF cohort 5-year follow-up,first episode/pre-TRS,TRS,"In 44 first-episode schizophrenia-spectrum patients, lower baseline CSF LDH plus early response predicted 5-year TRS with exploratory AUC 0.86; authors explicitly require larger independent validation.",PMID:41916948; DOI:10.1038/s41398-026-03983-x,yes
SCZ049,UHR_NEGATIVE_INFLAMMATION_2026,2026,negative_immune,ultra-high-risk biomarker study,pre-onset/early,transdiagnostic_early_psychosis,"Inflammatory signals associated with negative-symptom variation before established schizophrenia support early biology but are not schizophrenia-specific subtype evidence.",2026 UHR inflammatory negative-symptom study,yes
