criterion_id,candidate,scope,historical_pattern,negative_control_test,scientific_coherence,promotion
U01,"Operationalizable and reproducible discriminator","ALL_CLASSIFICATIONS","Accepted splits/states had features that could be recognized repeatedly even when the feature was clinical rather than molecular.","Schizophrenia and SCLC over-subtypes failed partly because subtype assignment was unstable or poorly reproducible.",HIGH,CORE_CRITERION
U02,"Independent replication/transportability","ALL_CLASSIFICATIONS","Successful scientific splits were reproduced across investigators/settings and often strengthened after external replication.","Authority or multiple publications without independent cohorts can preserve a weak split, as illustrated historically by presenile/senile dementia and classification inertia.",HIGH,CORE_EVIDENCE_CRITERION
U03,"Boundary robustness to measurement conditions and arbitrary thresholds","ALL_CLASSIFICATIONS","Successful categorical entities had boundaries not wholly created by assay conditions or arbitrary cut-points; continuous entities were better represented dimensionally.","Low-renin hypertension classification changed with assay/population/sodium context; old autism/schizophrenia boundaries showed overlap/instability.",HIGH,CORE_CRITERION
U04,"Temporal coherence appropriate to the claimed class","ALL_CLASSIFICATIONS","Distinct diseases/subtypes can precede treatment; stages emerge longitudinally; treatment-resistance states require prior exposure.","Applying a pretreatment-disease standard to CRPC or DRE would be category error; conversely post-treatment biology cannot prove a pre-existing distinct disease.",HIGH,CORE_CRITERION
U05,"Specificity beyond alternative explanations","ALL_CLASSIFICATIONS","Strong splits were not explained solely by severity, duration, treatment exposure, comorbidity, measurement or context.","Failed/partial splits were often explainable by state, measurement context or arbitrary age/symptom boundaries.",HIGH,CORE_CRITERION
U06,"Longitudinal/natural-history coherence appropriate to class","ALL_CLASSIFICATIONS","Distinct agents/diseases often differed in course; stage definitions require transitions; treatment states predict future course/management.","Schizophrenia subtypes and presenile/senile dementia lacked sufficiently distinctive stable longitudinal behavior.",HIGH,CORE_OR_STRONG_SUPPORT
U07,"Clinical decision utility","ALL_CLASSIFICATIONS","Many accepted classifications changed prevention, testing, treatment, prognosis or trial design.","Useful operational categories such as MS phenotypes show that utility can exist without separate biology; therefore utility alone cannot establish ontology.",HIGH,SUPPORTIVE_NOT_ONTOLOGY_SUFFICIENT
D01,"Intrinsic etiologic, pathological, genetic or stable mechanistic distinction","DISTINCT_DISEASE","Viral hepatitis, HIV-1/2, primary aldosteronism, CML/GIST and diabetes gained strong disease-level support from intrinsic causes/mechanisms.","Age, symptom dominance or assay-defined state without intrinsic coherence did not survive as separate disease ontology.",HIGH,CORE_FOR_DISTINCT_DISEASE
D02,"Objective biological test or pathology","DISTINCT_DISEASE_OR_BIOLOGICAL_SUBTYPE","Strong in hepatitis, CML, GIST, APL, HER2 and primary aldosteronism.","Not necessary for a clinically useful stage/state (MS, DRE), so cannot be universal.",HIGH,STRONG_SUPPORT_FOR_DISEASE_NOT_UNIVERSAL
E01,"Reproducible pathway/endotype coherence","BIOLOGICAL_SUBTYPE_OR_ENDOTYPE","HER2/APL/T2 asthma show a coherent biological pathway that can cut within a broader syndrome.","A biomarker without stable pathway coherence or external validation should remain exploratory.",HIGH,CORE_FOR_ENDOTYPE
E02,"Treatment-by-subgroup interaction or mechanism-linked therapeutic response","BIOLOGICAL_SUBTYPE_OR_ENDOTYPE","APL, HER2, GIST and T2 asthma gained major credibility when targeted intervention benefit matched the proposed biology.","Treatment response alone can also define a state and can be confounded; it is not sufficient by itself for separate disease ontology.",HIGH,STRONG_SUPPORT
S01,"Demonstrable longitudinal transition/time ordering","DISEASE_STAGE","MS and CRPC are meaningful because the classification describes course/time; movement between states is expected rather than a validity failure.","Demanding immutable membership would incorrectly reject genuine stages.",HIGH,CORE_FOR_STAGE
R01,"Standardized adequate treatment exposure before resistance is assigned","TREATMENT_RESPONSE_STATE","DRE explicitly requires adequate tolerated appropriately chosen/used regimens; CRPC requires progression despite castrate testosterone; MDR-TB uses drug-susceptibility evidence.","Without adequate exposure, pseudo-resistance and treatment-system failure can masquerade as resistance.",HIGH,CORE_FOR_TREATMENT_STATE
R02,"Pseudoresistance/exposure/adherence/system causes explicitly assessed","TREATMENT_RESPONSE_STATE","TB demonstrates that resistance can be selected by treatment quality and transmitted; epilepsy definition requires adequate use.","A treatment-failure label without exposure verification has weak mechanistic meaning.",HIGH,CORE_FOR_TREATMENT_STATE
O01,"Reliability plus clinical/research utility despite absent biological separator","OPERATIONAL_CLINICAL_CATEGORY","MS phenotypes demonstrate that a useful standardized category can be legitimate for trials/prognosis without constituting separate diseases.","Regulatory or expert adoption alone must not be upgraded to biological ontology.",HIGH,CORE_FOR_OPERATIONAL_CATEGORY
H01,"Expert consensus/regulatory recognition","HISTORICAL_ADOPTION","Common in MS, DRE, cancer subtypes and diagnostic systems.","Schizophrenia/Alzheimer examples show that consensus/authority can preserve weak classifications.",HIGH,HISTORICAL_OBSERVATION_ONLY
H02,"Duration/persistence of a classification","HISTORICAL_ADOPTION","Long persistence can reflect use or inertia.","Traditional schizophrenia subtypes and presenile/senile dementia persisted despite weak validity.",HIGH,HISTORICAL_OBSERVATION_ONLY
H03,"War, political stability and national/global economic conditions","CONTEXT_CONTROL","WWII accelerated hepatitis research; Cultural Revolution suppressed/delayed APL work; funding environments altered opportunity.","These factors explain discovery/adoption timing but cannot establish that entities are biologically distinct.",HIGH,CONTEXT_CONTROL_NOT_DIVISION_CRITERION
H04,"Research funding, institutional capacity and technology availability","CONTEXT_CONTROL","Diabetes programs, cytogenetics, endoscopy, omics and molecular pathology repeatedly enabled discoveries.","A technology can reveal either a true entity (CML) or a misleading apparent subgroup (low-renin hypertension).",HIGH,CONTEXT_CONTROL_NOT_DIVISION_CRITERION
H05,"Commercial incentive, reimbursement, advocacy or regulatory pathway","CONTEXT_CONTROL","HER2/GIST translation illustrates strong acceleration of clinically actionable classification.","Commercial/regulatory success can follow true biology but is not evidence of ontology itself.",HIGH,CONTEXT_CONTROL_NOT_DIVISION_CRITERION
H06,"Prestige/authority/institutional competition","CONTEXT_CONTROL","Explicitly implicated in presenile/senile Alzheimer distinction and classification persistence.","Can promote invalid categories; therefore cannot be a scientific criterion.",HIGH,CONTEXT_CONTROL_AND_BIAS_FLAG
