audit_id,cycle,claim_or_issue,rule,audit_question,decision,resolution_status
A001,2,Inflammation causes TRD,CB2,Was inflammation measured before resistance and were causal alternatives controlled?,Causal wording blocked because most TRD evidence is cross-sectional or measured after prior treatment exposure,UNRESOLVED
A002,2,Inflammatory biomarker defines distinct TRD disease,CB3,Has a pretreatment biomarker been independently validated to predict future multi-trial TRD?,No such validated classifier identified in pilot; ontology claim blocked,UNRESOLVED
A003,2,GENDEP publications treated as separate replications,CB4,Do Uher and Cattaneo publications arise from independent cohorts?,No. They are companion analyses within GENDEP and were collapsed into SF001,RESOLVED
A004,2,CO-MED immune publications treated as separate replications,CB4,Do Jha Gadad and later immunomarker analyses arise from independent cohorts?,No. They are secondary analyses of NCT00590863 and were collapsed into SF002,RESOLVED
A005,2,EMBARC immune publications treated as separate replications,CB4,Are later EMBARC immune analyses independent datasets?,No. They belong to NCT01407094 and were collapsed into SF003,RESOLVED
A006,2,Infliximab companion biomarker papers treated independently,CB4,Do metabolic/gene-expression infliximab papers represent new randomized samples?,No. They reuse the 60-person infliximab parent trial and were collapsed into SF004,RESOLVED
A007,2,Hummad 2026 pooled OR used as confirmatory evidence,CB4,Does the meta-analysis pool independent study families addressing the same causal question?,Not reliably. Multiple parent-cohort publications and heterogeneous study questions are present; confirmatory use blocked pending reconstruction,UNRESOLVED
A008,2,High CRP infliximab subgroup interpreted as proof of inflammatory TRD subtype,CB6,Was the subgroup threshold and treatment interaction confirmatory and independently replicated?,Interaction is promising but subgroup response comparison was exploratory/imprecise; endotype claim limited to hypothesis-generating,UNRESOLVED
A009,2,Regulatory/later-line TRD treatment pathway implies separate disease,CB7,Does treatment indication establish separate diagnostic ontology?,No. Treatment population and ontology are separated by protocol,RESOLVED
A010,1,Exact search-result counts,CB8,Does the search interface expose reproducible source/date/query result totals?,No. Counts were omitted rather than estimated,RESOLVED
A011,3,H1 distinct disease versus H3 endotype,GENERAL_DISCRIMINATOR,Does inflammation specifically identify future TRD rather than an MDD subgroup that modifies treatment response?,Current evidence favors cross-cutting candidate endotype over TRD-specific disease boundary,PROVISIONAL
A012,3,H5 mixed model,GENERAL_DISCRIMINATOR,Can stage severity treatment exposure comorbidity and biological endotype jointly explain the observed evidence?,Yes. Mixed model best accommodates both positive treatment interactions and inconsistent/general confounded prediction,PROVISIONAL
