record_id,study_family_id,year,domain,design,timing,trd_definition,finding,source_id,higher_confidence_eligible,trajectory_state,temporality_role,adequacy_verified,adherence_assessed,pseudoresistance_vulnerability,endotype_scope,endotype_candidate,causal_alternatives
DEP001,SFORZINI_DELPHI,2022,definition,Delphi consensus,T4,Two adequate antidepressant failures; PRD/TRD criteria for trials,Operational definition improves standardization but explicitly reflects unresolved definition controversies.,PMID/DOI:10.1038/s41380-021-01381-x,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,PARTIAL,UNKNOWN,MODERATE,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP002,RYBAK_CANADIAN,2021,definition,Canadian Delphi consensus,T4,TRD concept with categorical and dimensional assessment,Experts considered dimensional treatment-resistance assessment useful because of heterogeneity.,PMID:33528865,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,PARTIAL,UNKNOWN,MODERATE,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP003,ATHF_SF2,2024,definition,Consensus measurement update,T4,Adequate-treatment history instrument,"Shows adequacy of prior treatment is a measurable prerequisite and includes pharmacotherapy, psychotherapy and brain stimulation.",PMID:38917723,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,YES,PARTIAL,MODERATE,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP004,REALWORLD_DEFINITION_2024,2024,definition,Prospective naturalistic cohort N=538,T4,Loose vs strict TRD definitions,TRD prevalence changed from 52.97% to 28.81%; stricter definition predicted worse outcome.,PMID:38422869,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,PARTIAL,UNKNOWN,MODERATE,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP005,WPA_TRD_REVIEW,2023,pseudoresistance,Review,T4,Variable clinical definitions,Substantial pseudo-resistance due to inadequate trials/nonadherence; few predictors generalize across treatment modalities.,PMID:37713549,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,UNKNOWN,PARTIAL,MODERATE,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP006,STAR_D,2006,longitudinal,Prospective sequential treatment trial,T2-T4,Sequential treatment failures,Remission declined across treatment steps and relapse increased among those requiring more steps.,PMID:17074942,yes,MIXED_OR_UNKNOWN,EMERGING_RESISTANCE,YES,UNKNOWN,UNKNOWN,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP007,STAR_D,2009,clinical_context,STAR*D synthesis,T2-T4,Sequential treatment failures,"Chronicity, comorbidity, lower function and socioeconomic disadvantage associated with poorer outcomes.",PMID:19594193,yes,MIXED_OR_UNKNOWN,EMERGING_RESISTANCE,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP008,GSRD,2018,clinical_predictors,Multicenter replication cohort,T4,>=2 antidepressant trials plus symptom threshold,"Severity, psychosis, suicidality, anxiety, episode duration and recurrence predicted TRD.",PMID:30291625,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP009,GSRD,2025,clinical_predictors,Multicenter prediction with external cohort extension,T4,Responder/nonresponder/TRD,"Chronicity, severity, hospitalization, episodes, BMI and functioning dominated prediction; prospective validation still needed.",PMID:40651344,yes,MULTIPLE_FAILURES,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP010,OCONNOR_REVIEW,2023,clinical_predictors,Systematic review 57 studies,mixed,Any study-defined TRD,"Most repeated predictors were severity, suicidality, recurrence; biological/imaging predictors too heterogeneous for common signal.",PMID:37967334,yes,MIXED_OR_UNKNOWN,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_ENDOTYPE_EVIDENCE,NONE,treatment_adequacy|adherence|access|clinical_severity
DEP011,KANG_GWAS,2024,genetics,GWAS,T4,EHR-defined TRD,Genetic signal overlaps metabolic traits; supports inherited liability but not clean categorical boundary.,PMID:38745458,yes,MULTIPLE_FAILURES,ESTABLISHED_TRD_CORRELATE,UNKNOWN,UNKNOWN,LOW,CROSS_CUTTING_MDD_TRD,GENETIC_LIABILITY,severity|chronicity|treatment_exposure|comorbidity|selection
DEP012,XIONG_NORDIC,2025,genetics,GWAS/meta-analysis severe ECT-defined TRD,T4-T6,Antidepressant exposure followed by ECT,SNP heritability detected; strong genetic correlations with bipolar disorder and schizophrenia; treatment-resistance locus evidence limited.,PMID:40571737,yes,ADVANCED_INTERVENTION,ESTABLISHED_TRD_CORRELATE,UNKNOWN,UNKNOWN,LOW,CROSS_CUTTING_MDD_TRD,GENETIC_LIABILITY,severity|chronicity|treatment_exposure|comorbidity|selection
DEP013,XU_ALLOFUS,2025,genetics,Polygenic score study,T4,EHR/medication proxy TRD,"Polygenic correlates span cognitive, temperamental and sleep traits; cross-trait enrichment rather than a unique TRD genome.",PMID:40009368,yes,MULTIPLE_FAILURES,ESTABLISHED_TRD_CORRELATE,UNKNOWN,UNKNOWN,LOW,TRD_ENRICHMENT_ONLY,GENETIC_LIABILITY,severity|chronicity|treatment_exposure|comorbidity|selection
DEP014,FABBRI_GENETICS_REVIEW,2025,genetics,Review,mixed,TRD,Genetic component is measurable but modest and heterogeneous; supports stratification research more than one disease boundary.,PMID:39827221,yes,MIXED_OR_UNKNOWN,MIXED_OR_UNKNOWN,UNKNOWN,UNKNOWN,LOW,CROSS_CUTTING_MDD_TRD,GENETIC_LIABILITY,severity|chronicity|treatment_exposure|comorbidity|selection
DEP015,HAN_FMRI,2024,imaging,"First-episode drug-naive prospective fMRI, 5-year follow-up",T1,Future TRD after SSRI treatment,Baseline resting-state measures predicted later TRD in small sample (17 TRD/43 NRD); requires independent validation.,PMID:38320861,yes,PRE_TREATMENT,PRE_RESISTANCE_PREDICTOR,UNKNOWN,UNKNOWN,MODERATE,CROSS_CUTTING_MDD_TRD,CIRCUIT_NEUROIMAGING,severity|chronicity|treatment_exposure|comorbidity|selection
DEP016,MRI_REVIEW_2026,2026,imaging,Systematic review 27 studies/22 cohorts,mostly T4-T5,TRD vs treatment-sensitive/non-TRD MDD,"Reduced hippocampal volume and network differences recur, but methods and results remain inconsistent.",PMID:42097177,yes,ADVANCED_INTERVENTION,ESTABLISHED_TRD_CORRELATE,UNKNOWN,UNKNOWN,UNKNOWN,CROSS_CUTTING_MDD_TRD,CIRCUIT_NEUROIMAGING,severity|chronicity|treatment_exposure|comorbidity|selection
DEP017,GENDEP,2014,inflammation,Randomized antidepressant trial biomarker analysis,T2,MDD before assigned treatment,"Baseline CRP moderated escitalopram vs nortriptyline outcome; treatment interaction, not TRD disease classifier.",DOI:10.1176/appi.ajp.2014.14010094,yes,FIRST_LINE,PRE_RESISTANCE_PREDICTOR,YES,UNKNOWN,LOW,MDD_WIDE,INFLAMMATORY_IMMUNE,severity|chronicity|treatment_exposure|comorbidity|selection
DEP018,COMED,2017,inflammation,Secondary trial biomarker analysis,T2,MDD before trial treatment,Inflammatory markers showed treatment-moderating signals; companion analyses from same parent trial.,PMID:28187400;PMID:28628884,no,FIRST_LINE,PRE_RESISTANCE_PREDICTOR,UNKNOWN,UNKNOWN,UNKNOWN,CROSS_CUTTING_MDD_TRD,INFLAMMATORY_IMMUNE,severity|chronicity|treatment_exposure|comorbidity|selection
DEP019,CHAMBERLAIN_TRD,2019,inflammation,Cross-sectional case-control,T4-T5,Established TRD,"Higher BMI-corrected CRP in TRD, but CRP tracked BMI, vegetative/anxiety/adversity features; no temporality.",PMID:29764522,no,ADVANCED_INTERVENTION,ESTABLISHED_TRD_CORRELATE,UNKNOWN,UNKNOWN,UNKNOWN,TRD_ENRICHMENT_ONLY,INFLAMMATORY_IMMUNE,severity|chronicity|treatment_exposure|comorbidity|selection
