cycle,primary_focus,new_high_information_signal,class_level_change,notes
1,"B-SNIP replication; TRS predictors; negative/cognitive/immune/imaging subtype searches","Large cross-site SuStaIn neurostructural subgroups",NO,"Strengthened imaging heterogeneity but did not establish a common disease subtype"
2,"Current clinical/cognitive/TRS subtypes","International multimodal clinical-functional clusters; 2026 TRS immune review",NO,"Added provisional phenotype evidence and immune caution"
3,"Deficit/negative symptoms; B-SNIP familial validation; clozapine treatment","Additional deficit phenotype and familial Biotype support",NO,"Strengthened existing branches"
4,"TRS genetics; B-SNIP genetics; imaging; negative symptom clusters","Biotype-specific genetic/TWAS signals and TRS polygenic evidence",NO,"Biological convergence strengthened but remained transdiagnostic/polygenic"
5,"Deliberate rare-etiology and precision-treatment challenge","GRIN2A-null-related psychiatric disorder; prospective B-SNIP/ADEPT protocol",YES_REFINEMENT,"Added rare etiologic disease layer; did not alter overall heterogeneous-syndrome conclusion"
6,"Autoimmune/rare genetic etiologies and cross-disorder genetics","22q11.2 and autoimmune psychosis evidence; large shared schizophrenia-bipolar genomic factor",YES_REFINEMENT,"Strengthened etiologic-exception and transdiagnostic-boundary layers"
7,"2026 first-episode TRS prediction and schizophrenia-internal cognitive subtypes","EF-Focal/EF-Global stable locally validated subtypes; BIOERES baseline CSF LDH + early response",YES_REFINEMENT,"Upgraded cognitive subtype branch to PROVISIONALLY_SUPPORTED; overall class unchanged"
8,"External replication and contradiction checks","No external BIOERES replication; no geographic EF-subtype replication; imaging literature remains contradictory",NO,"First post-refinement no-change cycle"
9,"Prospective clinical utility, registries, rare-etiology treatment and autoimmune testing","BIOERES remains explicitly preliminary; B-SNIP prospective utility work ongoing; no decision-grade rare-etiology subtype system",NO,"Second post-refinement no-change cycle"
10,"Final systematic-review/replication contradiction sweep","B-SNIP replication/familial evidence confirmed; 2026 imaging critical review and TRS immune review reaffirm limitations; no new subtype class",NO,"Third consecutive post-refinement no-change cycle; saturation criterion met"
verification,"Key-source verification after stopping gate","EF study, GRIN2A, shared schizophrenia-bipolar genetics reverified",NO,"Verification only; not used to extend saturation requirement"
