case_id,context_factor,evidence_directness,effect_on_timing_or_adoption,scientific_validity_role,control_judgment
HIST001,"US National Diabetes Mellitus Research and Education Act; coordinated NIH centers/commission/data infrastructure",DIRECT_FOR_RESOURCE_EXPANSION,"Likely accelerated research coordination and standardization; direct causal contribution to the T1/T2 biological distinction not demonstrated","Context only; biological validity rests on disease evidence",SCIENCE_MAJOR_CONTEXT_ENABLED
HIST002,"Mount Sinai clinic/pathology infrastructure; evolving endoscopy/pathology; Great Depression period",DIRECT_FOR_INSTITUTION_TECH_UNPROVEN_FOR_ECONOMY,"Institutional/technical capacity plausibly enabled recognition; economic effect is unproven","Do not use Depression-era timing as scientific evidence",SCIENCE_MAJOR_TECH_INSTITUTION_ENABLED
HIST003,"World War II military hepatitis burden and yellow-fever-vaccine outbreak",DIRECT,"Accelerated focused studies; military investigators helped define two forms before viruses were isolated","Strong context effect on timing but not on validity of distinct viruses",CONTEXT_MAJOR_FOR_TIMING_SCIENCE_VALIDATED
HIST004,"Chinese Cultural Revolution; constrained scientific careers; later China-France collaboration",DIRECT,"Political disruption delayed/suppressed research and recognition; later collaboration accelerated replication and international adoption","Valid split despite adverse context; context explains recognition delay",CONTEXT_MAJOR_SUPPRESSIVE_SCIENCE_VALIDATED
HIST005,"NCI funding; biotechnology/Genentech; companion diagnostics; FDA; DOD breast-cancer funding/advocacy",DIRECT_FOR_TRANSLATION,"Accelerated biomarker-to-drug translation and adoption","Does not substitute for HER2 biology and treatment interaction",MIXED_SCIENCE_TRANSLATIONAL_CONTEXT
HIST006,"Transcriptomics/omics; large cohorts; biologic drug development and market/access structures",DIRECT_FOR_TECH_PLAUSIBLE_FOR_COMMERCIAL,"Enabled endotype discovery and treatment; may create research asymmetry between T2-high and T2-low","Context can shape which endotype is studied; marker/pathway validity remains scientific",MIXED_SCIENCE_TECH_COMMERCIAL
HIST007,"International expert committee; clinical-trial recruitment; regulator/sponsor adoption",DIRECT,"Formal phenotype definitions were explicitly created for communication/prognosis/trials and later regulatory use","Operational utility can validate a stage descriptor without proving separate disease biology",OPERATIONAL_CONTEXT_MAJOR
HIST008,"Long DSM/ICD institutional persistence despite declining scientific use",DIRECT,"Administrative tradition helped maintain subtypes after weak scientific utility became apparent","Contextual persistence must not be mistaken for validation",CONTEXT_INERTIA_MAJOR
HIST009,"Chromosome-preparation/banding, recombinant DNA and targeted-drug technologies; broad cancer-research expansion",DIRECT_FOR_TECH_GENERAL_FOR_POLICY,"Technology made the discriminator observable and later targetable","Technology availability controls discovery timing; causal lesion validates entity",SCIENCE_MAJOR_TECH_ENABLED
HIST010,"Molecular pathology; targeted-drug platform; orphan-drug/regulatory pathway",DIRECT,"Rapidly translated KIT biology into GIST-specific therapy and regulatory recognition","Regulatory acceleration follows rather than establishes biological identity",SCIENCE_MAJOR_TRANSLATIONAL_CONTEXT
HIST011,"Generally available endoscopy/staining/culture; prevailing stress/lifestyle dogma",DIRECT,"Recognition barrier was largely conceptual/scientific rather than absence of expensive new technology","Dogma can delay valid reclassification; historical consensus is not evidence",SCIENCE_MAJOR_DOGMA_BARRIER
HIST012,"Global AIDS emergency and international virology networks; West-African geographic concentration",DIRECT_FOR_GLOBAL_RESEARCH_ENVIRONMENT,"Likely facilitated rapid identification after HIV-1; geography shaped detection","Distinct genome/biology, not epidemic attention, establishes HIV-2",SCIENCE_MAJOR_GLOBAL_HEALTH_CONTEXT
HIST013,"ILAE consensus task force; patient-care/research standardization need",DIRECT,"Created a reproducible operational treatment-state definition","Consensus is useful but does not imply one biological disease",OPERATIONAL_CONTEXT_MAJOR
HIST014,"Antibiotic programs, adherence, drug quality/supply, crowded settings, WHO surveillance",DIRECT,"Health-system conditions can create acquired resistance and determine detection; surveillance standardized global recognition","Here context can be part of causation of the resistance state, while microbiological testing establishes it",MIXED_INTRINSIC_RESISTANCE_AND_SYSTEM_CONTEXT
HIST015,"Evolution of androgen-deprivation and later hormonal therapies; changing mechanistic knowledge",DIRECT,"Treatment itself creates/selects the state; new biology forced nomenclature revision","State validity requires treatment/time context and cannot be judged like a pretreatment distinct disease",SCIENCE_TREATMENT_COEVOLUTION
HIST016,"Development of chemotherapy/radiotherapy and clinical-trial infrastructure",DIRECT_FOR_TREATMENT,"Reinforced practical importance of SCLC/NSCLC separation","Distinct pathology/natural history plus treatment response support split",SCIENCE_MAJOR_TREATMENT_ENABLED
HIST017,"RAAS physiology, spironolactone, biochemical assays, adrenal venous sampling and imaging",DIRECT,"Expanded ability to detect/localize a causal form of hypertension","Technology controls detection; autonomous aldosterone biology validates subtype",SCIENCE_MAJOR_TECH_ENABLED
HIST018,"University competition and Kraepelin's authority",DIRECT_HISTORICAL_ANALYSIS,"Helped create/persist presenile-senile split despite weak basis","Context explains a false/unstable split and is a key negative control",CONTEXT_AUTHORITY_MAJOR
HIST019,"DSM nosology goals; reliability/specificity; service-eligibility implications",DIRECT_FOR_NOSOLOGY_POLICY,"Influenced merger and consequences of category change","Policy effects require sensitivity analysis but do not determine biology",MIXED_SCIENCE_NOSOLOGY_POLICY
HIST020,"New renin assays; sodium balance/posture/population/assay characteristics",DIRECT,"Technology created the candidate subgroup, while measurement context undermined a clean categorical boundary","Measurement dependence is evidence against a single robust disease split",MEASUREMENT_CONTEXT_MAJOR
HIST021,"Pathology consensus and need for reproducible terminology",DIRECT,"Simplification followed inconsistent criteria and poor reproducibility","Reproducibility failure is scientific; consensus implemented the correction",SCIENCE_REPRODUCIBILITY_DOMINANT
