study_family_id,parent_study_or_cohort,publication_or_record,design,role_in_pilot,independence_status,integrity_note
SF001,GENDEP,Uher et al 2014 AJP DOI 10.1176/appi.ajp.2014.14010094,randomized escitalopram vs nortriptyline,pretreatment CRP treatment interaction,PARENT_FAMILY,Do not count companion GENDEP biomarker publications as independent replication
SF001,GENDEP,Cattaneo et al 2013 Neuropsychopharmacology PMID 22990943,GENDEP biomarker substudy,pretreatment inflammatory mRNA and response,COMPANION_SAME_FAMILY,Same parent cohort as Uher; smaller biomarker subset
SF001,GENDEP,Cattaneo/GENDEP related inflammatory analyses,secondary biomarker analyses,inflammation predictors vs longitudinal targets,COMPANION_SAME_FAMILY,Multiple publications can inflate apparent replication if counted separately
SF001,GENDEP,ISRCTN03693000,trial registry,protocol and outcomes provenance,REGISTRY_PARENT,Registry states broad biomarker aims but cannot prespecify all secondary analyses
SF002,CO-MED,Jha et al 2017 Psychoneuroendocrinology PMID 28187400,secondary analysis of randomized parent trial,CRP as treatment-selection moderator,PARENT_BIOMARKER_ANALYSIS,Secondary analysis; not independent from other CO-MED biomarker papers
SF002,CO-MED,Gadad et al 2017 J Psychiatr Res PMID 28628884,proteomic secondary analysis,inflammatory biomarker changes and remission,COMPANION_SAME_FAMILY,Same parent CO-MED trial
SF002,CO-MED,Later immunomarker moderator analyses including PMID 34706415,secondary analysis,IL-13 and multibiomarker treatment moderation,COMPANION_SAME_FAMILY,Data-driven biomarker selection noted by authors
SF002,CO-MED,NCT00590863,trial registry,parent trial provenance,REGISTRY_PARENT,Original trial tested antidepressant combinations rather than a prespecified inflammation-guided strategy
SF003,EMBARC,Chin-Fatt et al 2019 PMID 30959227,secondary analysis of randomized sertraline vs placebo trial,baseline CRP and acute treatment outcome,PARENT_BIOMARKER_ANALYSIS,Association was not uniform across full sample and appeared sex-dependent
SF003,EMBARC,2026 peripheral immune/choroid plexus analysis PMID 42470859,secondary analysis,immune profile and symptom improvement,COMPANION_SAME_FAMILY,Same EMBARC parent cohort; not independent replication
SF003,EMBARC,NCT01407094,randomized trial registry,biosignature parent protocol,REGISTRY_PARENT,Prospectively designed for moderators but individual later biomarker analyses still need prespecification checks
SF004,Infliximab TRD trial,Raison et al 2013 PMID 22945416,double-blind placebo-controlled RCT,immune-targeting treatment interaction,PARENT_FAMILY,No overall antidepressant effect; CRP interaction supports candidate treatment modifier not distinct ontology
SF004,Infliximab TRD trial,NCT00463580,trial registry,protocol/outcome provenance,REGISTRY_PARENT,CRP subgroup outcome appears in registry as secondary outcome; verify history for timing of registration changes in full audit
SF004,Infliximab TRD trial,Glucose/lipid biomarker secondary analysis PMID 30249443,secondary biomarker analysis,metabolic predictors of infliximab response,COMPANION_SAME_FAMILY,Same 60-person parent RCT
SF005,Chamberlain TRD CRP cohort,Chamberlain et al 2019 PMID 29764522,cross-sectional multi-group study,CRP enrichment in established TRD,PARENT_FAMILY,Cannot establish that inflammation preceded treatment resistance; BMI and phenotype associations important
SF006,Insight tocilizumab trial,Foley et al 2026 JAMA Psychiatry DOI 10.1001/jamapsychiatry.2026.1053,small double-blind placebo-controlled RCT,IL-6R target in difficult-to-treat depression with inflammation,PARENT_FAMILY,Primary outcome nonsignificant and trial explicitly underpowered; exploratory hs-CRP moderation requires replication
SF006,Insight tocilizumab trial,ISRCTN16942542,trial registry/protocol,protocol provenance,REGISTRY_PARENT,Repeated hs-CRP entry criterion strengthens phenotype definition but does not prove TRD ontology
SF007,Qatar prospective MDD cohort,PMID 40447149,prospective longitudinal cohort,contradictory evidence for routine CRP/NLR prediction,PARENT_FAMILY,CRP and standard inflammatory indices did not predict treatment response
SF008,Chinese prospective inflammatory biomarker study,PMID 31244689,small prospective treatment cohort,contradictory evidence,PARENT_FAMILY,Baseline inflammatory factors did not predict response in this small sample
SF009,Strawbridge 2015 meta-analysis,PMID 26169573,systematic review/meta-analysis,legacy synthesis of inflammation and treatment response,SYNTHESIS_NOT_PRIMARY,Component studies may overlap with later reviews; do not count review plus components as independent evidence
SF010,TRD inflammatory outcome systematic review,PMID 31357161,systematic review,TRD-specific treatment prediction synthesis,SYNTHESIS_NOT_PRIMARY,Only 10 studies; considerable definition and methodological heterogeneity
SF011,Hummad 2026 meta-analysis,PMID 42205644 / DOI 10.7759/cureus.107728,systematic review/meta-analysis,new pooled estimate under integrity audit,SYNTHESIS_REQUIRES_REANALYSIS,Contains multiple publications from same parent families and heterogeneous causal questions; protocol not prospectively registered
SF012,First-episode/drug-naive cytokine meta-analysis,PMID 41226404,systematic review/meta-analysis,tests whether inflammation exists before treatment exposure,SYNTHESIS_CONTEXT,Supports early-MDD inflammation but does not prospectively predict future TRD
