candidate_subdivision,classification,status,key_support,key_failure_or_limit
Traditional DSM schizophrenia subtypes,OPERATIONAL/CLINICAL_SUBTYPES,NOT_SUPPORTED,"Historical clinical familiarity","Poor stability/reliability/validity; no distinctive natural history or treatment-response pattern sufficient for durable subtype ontology"
TRS,TREATMENT_RESPONSE_STATE,SUPPORTED,"TRRIP exposure/adherence framework; clozapine treatment pathway; early-course emergence; prospective risk studies","No validated universal pretreatment biological classifier; pseudoresistance and treatment pathway remain essential controls"
Clozapine-resistant schizophrenia,NESTED_TREATMENT_RESPONSE_STATE,PARTIALLY_SUPPORTED,"Clinically reproducible later-line nonresponse state; emerging immune/glutamate/other biology","Definitions and biology remain heterogeneous; no objective resistance assay or validated etiologic separator"
Deficit/primary negative-symptom phenotype,DIMENSION_OR_CLINICAL_PHENOTYPE,PARTIALLY_SUPPORTED,"Meta-analytic prevalence; recurring clinical/cognitive/neural differences","Primary versus secondary negative symptoms; boundaries and treatment effects; does not meet distinct-disease gate"
Cognitive subtypes,BIOLOGICAL_CLINICAL_SUBTYPE,PROVISIONALLY_SUPPORTED,"Independent cognitive cluster programs; imaging correlates; 2026 EF-Focal/EF-Global longitudinal stability, immune-metabolic differences, local validation, prognostic separation","External geographic/cross-cultural replication and treatment-by-subtype decision utility not established; ambiguous membership exists"
B-SNIP psychosis Biotypes,TRANSDIAGNOSTIC_ENDOTYPE,STRONGLY_PROVISIONAL,"Large discovery/replication samples; temporal stability; external imaging/familial/genetic validation","Primarily one research consortium/family; clinical treatment utility remains unproven; explicitly crosses DSM diagnoses rather than subdividing schizophrenia only"
Immune/inflammatory TRS/endotypes,BIOLOGICAL_ENDOTYPE,PROVISIONAL,"Recurring cytokine/immune-cell/proteomic response-group signals","Many studies are post-treatment/established TRS; clozapine itself changes immune biology; external prospective classifier/utility absent"
Neuroimaging subtypes,BIOLOGICAL_SUBTYPE_OR_DIMENSION,CONTESTED_PROVISIONAL,"Large 2024 cross-site SuStaIn evidence for two neurostructural trajectories","2026 critical review found no consistently reproduced macroscale subtype profile across clustering studies; likely mixture of gradients and method-dependent clusters"
Rare genetic etiologies presenting with schizophrenia,ETIOLOGIC_DISEASE_SUBGROUP,SUPPORTED_AS_EXCEPTIONS,"22q11.2 deletion syndrome; GRIN2A-null-related disorder; other pathogenic variants can confer high psychosis risk and alter clinical management","Rare and heterogeneous; often cross diagnostic/neurodevelopmental boundaries; do not form a complete schizophrenia subtype taxonomy"
Autoimmune psychosis/encephalitis presenting with schizophrenia-like psychosis,SECONDARY_ETIOLOGIC_DISEASE,SUPPORTED_AS_DIFFERENTIAL_ETIOLOGY,"Prospective FEP/antineuronal-antibody evidence and disease-specific immune mechanisms","Applies to a small selected subset and is better diagnosed as an autoimmune/neurological disease than idiopathic schizophrenia subtype"
One global schizophrenia biological subtype system,BIOLOGICAL_SUBTYPE_OR_ENDOTYPE,NOT_SUPPORTED,"Multiple candidate structures exist","No single partition jointly satisfies boundary robustness, independent transportability, multidomain convergence and decision utility across schizophrenia"
Overall schizophrenia representation,COMPOSITE_MULTIAXIAL_HETEROGENEOUS_SYNDROME,SUPPORTED,"Etiologic exceptions + transdiagnostic biotypes + cognitive/negative dimensions + longitudinal trajectories + treatment-response states","Not reducible to one mutually exclusive subtype tree"
