claim_id,claim,evidence_label,main_support,main_challenge,claim_block_rule,status,required_next_action
C001,Pretreatment inflammation can moderate response to specific antidepressant strategies,DIRECT_EVIDENCE,"GENDEP CRP-drug interaction; CO-MED biomarker moderators; infliximab CRP interaction","Effects vary by cohort treatment sex and marker; mostly secondary biomarker analyses",CB3,ALLOWED_WITH_QUALIFICATION,Independent prospectively prespecified biomarker-treatment interaction replication
C002,Established TRD populations show higher peripheral inflammatory burden than some comparison groups,CONVERGENT_SUPPORT,"Chamberlain 2019 CRP; several TRD inflammatory studies and reviews","Cross-sectional design; BMI vegetative symptoms anxiety trauma metabolic and treatment exposure confounding",CB2,ALLOWED_WITH_CAUSAL_DOWNGRADE,Prospective pre-resistance measurement with repeated biomarkers and confounder control
C003,Elevated CRP prospectively identifies a biologically distinct TRD disease,HYPOTHESIS,"Positive treatment-prediction and TRD-enrichment studies","No validated first-episode pretreatment multi-trial TRD classifier; specificity and stability unmet",CB3,CLAIM_BLOCKED,Treatment-naive first-episode prospective cohort through at least two adequate failures plus external validation
C004,Inflammation is a candidate endotype cutting across current MDD/TRD boundaries,CONVERGENT_SUPPORT,"Treatment interaction signals; early untreated MDD cytokine alterations; immune-targeting proof-of-concept trials","No universally stable biomarker threshold or validated endotype assignment",CB3,ALLOWED_WITH_QUALIFICATION,Predefine endotype and test stability replication and treatment interaction across independent cohorts
C005,The Hummad 2026 pooled OR 2.11 is independent confirmatory evidence of inflammation-related antidepressant resistance,HYPOTHESIS,"Published pooled OR 2.11 with reported low heterogeneity","Multiple GENDEP publications counted separately; mixed study questions; threshold heterogeneity; confounding; unregistered protocol",CB4,CLAIM_BLOCKED,Reconstruct source-level study-family-deduplicated meta-analysis and verify effect estimates
C006,Inflammation causes treatment resistance in MDD,HYPOTHESIS,"Biological plausibility; longitudinal associations; immune-targeting trials","Cross-sectional enrichment and treatment prediction do not establish causality; bidirectionality and confounding remain",CB2,CLAIM_BLOCKED,Prospective causal design and biomarker-stratified treatment interaction with mediation/temporal evidence
C007,TRD is best represented as one separate inflammatory disease,CONTRADICTED,"Some TRD cohorts show elevated inflammatory markers","Heterogeneous TRD definitions and biology; noninflamed TRD exists; inflammation present in non-TRD MDD; mixed treatment-response findings",CB3,NOT_SUPPORTED,Do not use as ontology conclusion unless new decisive evidence emerges
C008,A mixed model of endotype stage severity operational definition and selection best fits this inflammation branch,INFERENCE,"Combined evidence from temporality replication confounding and treatment interactions","Pilot not exhaustive and limited to one biological domain",NONE,PREFERRED_PILOT_FORMULATION,Test other domains independently using same discriminator framework before global MDD/TRD conclusion
C009,Inflammatory biomarkers are ready for routine clinical antidepressant selection,CONTRADICTED,"Promising CRP and cytokine treatment-moderation signals","No prospective biomarker-guided strategy has established decision utility; 2026 meta-analysis itself states routine use unsupported",CB3,NOT_SUPPORTED,Prospective biomarker-guided randomized strategy trial with clinical utility outcomes
C010,Regulatory or later-line treatment recognition proves distinct TRD ontology,HYPOTHESIS,"TRD is a recognized treatment population","Treatment indication does not establish separate disease ontology",CB7,CLAIM_BLOCKED,Require diagnostic/pathological evidence independent of regulatory treatment population
