query_id,query,domains,run_date
Q01,treatment resistant depression definition consensus adequate trials pseudoresistance review 2024 2025,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q02,treatment resistant depression prospective predictors treatment naive longitudinal study TRD depression,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q03,treatment resistant depression genetics GWAS 2024 2025,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q04,treatment resistant depression neuroimaging meta-analysis MRI PET EEG 2024 2025,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q05,treatment resistant depression socioeconomic healthcare access adherence pseudoresistance review,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q06,treatment resistant depression European consensus definition 2022 Molecular Psychiatry difficult to treat depression,nature.com;pubmed.ncbi.nlm.nih.gov,2026-08-04
Q07,treatment resistant depression transcriptomic 2025 blood study TRD non-resistant depression,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q08,treatment resistant depression neuroimaging systematic review 2023 2024 structural functional MRI,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q09,treatment resistant depression sociodemographic socioeconomic 2025 study,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q10,STAR*D remission rates sequential treatment steps depression resistance PubMed,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q11,40930269 treatment resistant depression transcriptomic blood 2025,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q12,treatment resistant depression transcriptome blood non resistant MDD 2025 Sires,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q13,treatment resistant depression inflammation prospective meta-analysis 2026 Hummad,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q14,treatment resistant depression social determinants income unemployment 2025 Forthman,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q15,treatment resistant depression systematic review predictors risk factors 2023 2024,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q16,40645528 treatment resistant depression sociodemographic,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q17,treatment resistant depression burden economic healthcare utilization mortality review 2024 2025,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q18,treatment resistant depression difficult to treat depression dimensional staging consensus 2024 2025,pubmed.ncbi.nlm.nih.gov,2026-08-04
Q19,treatment resistant depression biomarkers review 2025 multimodal endotypes,pubmed.ncbi.nlm.nih.gov,2026-08-04
