case_id,context_factor,evidence_directness,effect_on_discovery_or_adoption,scientific_validity_role,control_judgment
HIST001,"US diabetes research expansion and NIH coordination",DIRECT_FOR_RESOURCE_EXPANSION,"Accelerated coordination and standardization","Context only; biological validity rests on disease evidence",SCIENCE_MAJOR_CONTEXT_ENABLED
HIST002,"Mount Sinai clinic/pathology infrastructure; evolving pathology technology",DIRECT_FOR_INSTITUTION_TECH,"Enabled recognition and differentiation","Context explains opportunity, not validity",SCIENCE_MAJOR_TECH_INSTITUTION_ENABLED
HIST003,"World War II military hepatitis burden and vaccine-associated outbreaks",DIRECT,"Accelerated focused studies and distinction of hepatitis forms","Strong timing effect; distinct viruses establish validity",CONTEXT_MAJOR_FOR_TIMING_SCIENCE_VALIDATED
HIST004,"Chinese Cultural Revolution disruption; later China-France collaboration",DIRECT,"Suppressed/delayed careers and recognition; later collaboration accelerated replication","Adverse context did not negate valid biology",CONTEXT_MAJOR_SUPPRESSIVE_SCIENCE_VALIDATED
HIST005,"NCI/public funding, biotechnology, industry, companion diagnostics, FDA and advocacy",DIRECT_FOR_TRANSLATION,"Accelerated biomarker-to-treatment translation and adoption","Does not substitute for HER2 biology",MIXED_SCIENCE_TRANSLATIONAL_CONTEXT
HIST006,"Omics, large cohorts, biologic development and market/access structures",DIRECT_FOR_TECH_PLAUSIBLE_FOR_COMMERCIAL,"Enabled endotyping and created research asymmetry between T2-high and residual T2-low","Context shapes evidence density; pathway coherence remains scientific",MIXED_SCIENCE_TECH_COMMERCIAL
HIST007,"International expert committees, clinical-trial needs and regulator/sponsor adoption",DIRECT,"Standardized phenotypes for communication, prognosis and trials","Operational validity without separate disease ontology",OPERATIONAL_CONTEXT_MAJOR
HIST008,"Long DSM/ICD persistence and professional tradition",DIRECT,"Maintained subtypes despite declining scientific support","Persistence is not validation",CONTEXT_INERTIA_MAJOR
HIST009,"Chromosome visualization, molecular genetics and targeted-drug technology",DIRECT_FOR_TECH,"Made causal lesion observable and targetable","Technology enables discovery; BCR::ABL1 validates entity",SCIENCE_MAJOR_TECH_ENABLED
HIST010,"Molecular pathology, targeted-drug platform and regulatory translation",DIRECT,"Rapidly translated KIT biology into GIST-specific care","Regulation followed biological distinction",SCIENCE_MAJOR_TRANSLATIONAL_CONTEXT
HIST011,"Prevailing stress/lifestyle ulcer dogma; culture/endoscopy availability",DIRECT,"Conceptual resistance delayed reclassification","Consensus/dogma can delay a valid split",SCIENCE_MAJOR_DOGMA_BARRIER
HIST012,"Global AIDS emergency, international virology networks and West-African concentration",DIRECT_FOR_GLOBAL_RESEARCH_ENVIRONMENT,"Shaped detection and surveillance","Distinct viral genome/biology establishes HIV-2",SCIENCE_MAJOR_GLOBAL_HEALTH_CONTEXT
HIST013,"ILAE consensus and standardization need",DIRECT,"Created reproducible treatment-state definition","Consensus supports utility, not disease ontology",OPERATIONAL_CONTEXT_MAJOR
HIST014,"Drug supply, adherence, health systems, crowding and WHO surveillance",DIRECT,"Can create acquired resistance and influence detection","Context partly causal for resistance state; microbiology establishes state",MIXED_INTRINSIC_RESISTANCE_AND_SYSTEM_CONTEXT
HIST015,"Evolution of androgen deprivation and later hormonal therapies",DIRECT,"Treatment creates/selects the state and changing biology revised terminology","Must be judged as treatment-emergent state",SCIENCE_TREATMENT_COEVOLUTION
HIST016,"Chemotherapy/radiotherapy and trial infrastructure",DIRECT_FOR_TREATMENT,"Increased practical value of SCLC/NSCLC split","Treatment reinforces pathology/natural-history evidence",SCIENCE_MAJOR_TREATMENT_ENABLED
HIST017,"RAAS physiology, biochemical assays, imaging and adrenal venous sampling",DIRECT,"Expanded ability to detect/localize primary aldosteronism","Technology controls detection; autonomous aldosterone validates subtype",SCIENCE_MAJOR_TECH_ENABLED
HIST018,"University competition and Kraepelin authority",DIRECT_HISTORICAL_ANALYSIS,"Helped create/persist age split","Context explains weak/failed split",CONTEXT_AUTHORITY_MAJOR
HIST019,"DSM nosology goals, service eligibility and reliability concerns",DIRECT_FOR_NOSOLOGY_POLICY,"Influenced merger and consequences","Policy effects do not determine biology",MIXED_SCIENCE_NOSOLOGY_POLICY
HIST020,"Renin assays, sodium balance, posture and population/assay characteristics",DIRECT,"Technology created candidate subgroup while measurement context destabilized it","Measurement dependence counts against robust boundary",MEASUREMENT_CONTEXT_MAJOR
HIST021,"Pathology consensus and reproducible terminology needs",DIRECT,"Simplification followed poor reproducibility","Consensus implemented scientific correction",SCIENCE_REPRODUCIBILITY_DOMINANT
HIST022,"AQP4 assay development, specialized neuroimmunology networks and access to antibody testing",DIRECT_FOR_TECH,"Enabled separation of NMOSD from MS and changed treatment decisions","Assay availability affects detection; immunopathogenesis validates entity",SCIENCE_MAJOR_ASSAY_ENABLED
HIST023,"Live cell-based MOG-IgG assays and international expert criteria",DIRECT_FOR_TECH_AND_ADOPTION,"Enabled a reproducible candidate disease definition and broader recognition","Criteria remain under validation; assay alone is insufficient",SCIENCE_MAJOR_ASSAY_ENABLED
HIST024,"Genetic sequencing availability and unequal access to molecular diagnosis",DIRECT,"Permits reversal of T1/T2 misclassification where available; underdiagnosis persists where unavailable","Access modifies observed prevalence, not monogenic causality",SCIENCE_MAJOR_SEQUENCING_ENABLED_ACCESS_SENSITIVE
HIST025,"East-African clinical observation, pathology networks, later EBV/MYC technology and international oncology",DIRECT,"Geography made pattern visible; later technology established molecular identity","Discovery context important; molecular/pathology evidence validates entity",CONTEXT_MAJOR_FOR_DISCOVERY_SCIENCE_VALIDATED
HIST026,"Historical endemic/sporadic/immunodeficiency geography-based labels",DIRECT,"Geography and immune context shaped classification before molecular refinement","Later EBV-based biology shows context labels can be superseded",GEOGRAPHY_CONTEXT_CLASSIFICATION_REVISED
HIST027,"Global leprosy programs, pathology and immunology capacity",DIRECT_FOR_OPERATIONAL_USE,"Spectrum improved standardized clinical/pathological communication across endemic settings","Operational context supports use; immunological gradient supports science",SCIENCE_MAJOR_GLOBAL_HEALTH_OPERATIONAL
