record_id,study_family_id,branch,year,domain,design,finding,source_id,confidence
UM001,PGC_CROSS14_2025,ROOT,2025,cross_disorder_genetics,Genomic SEM / functional genomics,Five latent genomic factors across 14 disorders explain ~66% of genetic variance on average; extensive pleiotropy and limited disorder-specific signal in key factors.,Nature 2025 doi:10.1038/s41586-025-09820-3,HIGH
UM002,HITOP_NEUROBIOLOGY_2024,ROOT,2024,dimensional_neuroscience,Systematic review 164 neuroimaging studies,"Replicated neurobiological findings exist for p, externalizing, thought disorder, internalizing, distress, and depression dimensions, with important maturity limitations.",PMID:39480338,HIGH
UM003,P_FACTOR_2024,ROOT,2024,general_psychopathology,Longitudinal/model-comparison review,"p is reproducible across statistical representations, but its substantive meaning requires criterion validation and should not be treated as disease ontology.",PMID:38236494,HIGH
UM004,PGS_SPECIFICITY_2025,ROOT,2025,genetic_specificity,PGS decomposition,"General psychiatric genetic liability often predicts symptoms as well as disorder-specific PGS, but residual disorder-specific signal remains.",PMID:41505135,HIGH
UMA01,SCZ_BIP_DECOMP_2026,A,2026,genetics,Genomic SEM / mtCOJO,"Shared psychosis, schizophrenia-predominant and bipolar-predominant components can be separated.",PMID:42465921,MODERATE_PREPRINT
UMA02,SCHIZOAFF_RELIABILITY,A,2016,diagnostic_boundary,Systematic review/meta-analysis,"Schizoaffective disorder has lower interrater reliability than schizophrenia, bipolar disorder and unipolar depression.",PMID:27461400,HIGH
UMA03,BSNIP_DIMENSIONS,A,2019,dimensions,Transdiagnostic factor analysis,"General plus positive, negative, disorganized, manic and depressive psychosis dimensions cut across diagnoses and predict biotypes.",PMID:30600629,HIGH
UMA04,PSYCHOSIS_SUBTYPE_2026,A,2026,biotypes,Transdiagnostic neuroimaging clustering,Two cortical/subcortical psychosis subtypes span schizophrenia-spectrum and psychotic bipolar disorder.,PMID:42493610,MODERATE
UMA05,SCZ_BIP_ENV_2026,A,2026,context,Swedish register case-control,Family genetic risk and environmental exposures independently contribute to schizophrenia and bipolar risk with partially different weights.,PMID:42399416,HIGH
UMB01,INTERNALIZING_MULTIANCESTRY_2026,B,2026,genetics,Multivariate multi-ancestry GWAS,"GAD, MDD and PTSD share a strong internalizing factor; 38% of MDD genetic signals were disorder-specific.",PMID:41959808,MODERATE_PREPRINT
UMB02,ANXIETY_GWAS_2026,B,2026,genetics,GWAS meta-analysis with replication,Major anxiety disorders share substantial genetic liability; threat-response biology is broad rather than disorder-exclusive.,PMID:41634414,HIGH
UMB03,FEAR_GAD_2026,B,2026,genetics,GWAS fear vs GAD,Fear and GAD show high genetic correlation with partial fear-distress differentiation.,PMID:42374129,HIGH
