query_id,query,mode,notes
Q001,"World War II military hepatitis research two forms infectious serum hepatitis history",web_fast,"Context-critical hepatitis search"
Q002,"presenile senile dementia Alzheimer distinction abandoned historical Kraepelin university competition pathology no difference",web_fast,"Negative control"
Q003,"low renin hypertension classification history Brunner Laragh prognostic controversy diet posture renin subtype",web_fast,"Negative/partial control"
Q004,"DSM-5 autism Asperger PDD NOS merge reasons reliability validity subtypes evidence",web_fast,"Merged-category control"
Q005,"Conn primary aldosteronism 1955 essential hypertension history discovery aldosterone endocrine hypertension",web_fast,"Etiologic split"
Q006,"World War II military hepatitis medical research history",image_query,"Historical-event visual/context search; not used for scientific adjudication"
Q007,"Philadelphia chromosome CML history 1960 1973 translocation BCR ABL imatinib discovery targeted therapy",web_fast,"Molecular disease comparator"
Q008,"GIST history smooth muscle tumor KIT 1998 Hirota imatinib distinct disease classification",web_fast,"Molecular reclassification comparator"
Q009,"peptic ulcer history Helicobacter pylori rediscovery Marshall Warren dogma stress 1982 endoscopy Nobel",web_fast,"Etiologic reclassification comparator"
Q010,"HIV-2 discovery 1986 West Africa distinct virus epidemiology progression history",web_fast,"Distinct-agent comparator"
Q011,"drug resistant epilepsy ILAE definition 2010 failure two drugs history consensus treatment resistance",web_fast,"Treatment-state comparator"
Q012,"multidrug resistant tuberculosis history WHO surveillance 1994 resistance definition treatment mismanagement",web_fast,"Objective treatment-resistance comparator"
Q013,"castration resistant prostate cancer history androgen independent hormone refractory terminology mechanism reclassification",web_fast,"Treatment-emergent stage comparator"
Q014,"Philadelphia chromosome chronic myeloid leukemia history Nowell Hungerford Rowley 1959 1973 BCR ABL imatinib",web_fast,"CML expansion"
Q015,"gastrointestinal stromal tumor history leiomyoma leiomyosarcoma KIT Hirota 1998 imatinib reclassification",web_fast,"GIST expansion"
Q016,"Helicobacter pylori peptic ulcer history dogma stress Marshall Warren 1982 culture treatment Nobel",web_fast,"H. pylori expansion"
Q017,"HIV-2 discovery West Africa 1986 distinct retrovirus clinical progression epidemiology",web_fast,"HIV-2 expansion"
Q018,"small cell lung cancer history classification separate clinical behavior treatment subtypes failed WHO",web_fast,"Successful main split plus failed over-subtyping"
Q019,"gastrointestinal stromal tumor historical reclassification smooth muscle KIT Hirota 1998 c-kit mutation imatinib",web_slow,"GIST targeted retrieval"
Q020,"Hirota 1998 gain of function mutations c-kit human gastrointestinal stromal tumors history",web_slow,"GIST primary-study retrieval"
Q021,"National Cancer Act 1971 CML imatinib funding historical context targeted therapy",web_fast,"Context-control search; policy link treated cautiously"
Q022,"GIST imatinib FDA 2002 history targeted therapy KIT clinical trial",web_fast,"Regulatory/translation context"
Q023,"2024 history Alzheimer presenile senile separation no biological clinical pathological differences age cutoff review",web_fast,"Negative-control update"
Q024,"DSM schizophrenia subtypes removed poor reliability stability validity treatment response DSM-5",web_fast,"Negative-control update"
Q025,"multiple sclerosis 1996 clinical course descriptors survey communication prognosis clinical trials no biological markers 2014",web_fast,"Operational-stage comparator"
Q026,"asthma endotypes T2 high T2 low unstable classification threshold biologic treatment 45 percent reclassification",web_fast,"Boundary/stability check"
Q027,"acute promyelocytic leukemia ATRA China Cultural Revolution history Wang Zhenyi Chen Zhu arsenic political disruption",web_fast,"Political-context natural experiment"
Q028,"HER2 trastuzumab history Department Defense breast cancer research program patient advocacy funding Genentech FDA companion diagnostic",web_fast,"Funding/commercial/regulatory context"
Q029,"1974 National Diabetes Mellitus Research Education Act classification NDDG NIH workgroup history",web_fast,"National research-resource context"
