node_id,parent_node,candidate_partition,current_best_class,status,main_support,main_caution,next_test
MI000,ROOT,Mental illness as one unit,COMPOSITE_MULTIAXIAL,NOT_SUPPORTED_AS_SINGLE_DISEASE,"High comorbidity and pervasive cross-disorder genetic overlap; multiple orthogonal structures","Umbrella is clinically broad and includes etiologically distinct conditions",Recursively split using frozen v0.2 gates
MI001,MI000,Etiologically defined psychiatric-presenting disorders,DISTINCT_DISEASE,PARTIALLY_SUPPORTED,"Specific genetic/immune/neurologic etiologies can generate psychiatric syndromes; schizophrenia run identified 22q11.2 and GRIN2A examples","Only a minority currently have a specific positive etiologic discriminator",Expand rare genetic/CNV/immune/metabolic/infectious/neurologic etiologies across diagnoses
MI002,MI000,Schizophrenia-bipolar liability,BIOLOGICAL_SUBTYPE_OR_ENDOTYPE,PROVISIONAL,"2025 cross-disorder genomics: schizophrenia-bipolar latent factor with high polygenic overlap and few disorder-specific loci","Common-variant factor does not by itself establish one disease or erase clinically meaningful distinctions",Test longitudinal course treatment interactions and rare-variant divergence
MI003,MI000,Internalizing liability including depression PTSD anxiety,DIMENSION_OR_SPECTRUM,PROVISIONAL,"2025 cross-disorder genomics identifies internalizing factor; symptom covariance and clinical neuroscience repeatedly support internalizing dimensions","MDD PTSD and anxiety remain heterogeneous and may contain distinct etiologies/endotypes",Test whether natural boundaries survive after severity/context adjustment
MI004,MI000,Neurodevelopmental liability including ASD ADHD and partly Tourette,BIOLOGICAL_SUBTYPE_OR_ENDOTYPE,PROVISIONAL,"2025 genomics identifies neurodevelopmental factor","ADHD symptoms cross-load onto externalizing/internalizing/neurodevelopmental structures; developmental diagnoses are not one homogeneous biology",Decompose by developmental trajectories cognition motor/social-communication and rare etiologies
MI005,MI000,Compulsive liability including OCD anorexia and partly Tourette,BIOLOGICAL_SUBTYPE_OR_ENDOTYPE,PROVISIONAL,"2025 genomics identifies compulsive factor; family/twin evidence supports OCD-anorexia overlap","Phenotypes and medical risks differ substantially; membership is not a complete psychiatric partition",Test compulsivity dimension versus mechanistic endotypes and disorder-specific residuals
MI006,MI000,Substance-use liability,DIMENSION_OR_SPECTRUM,PROVISIONAL,"2025 genomics identifies SUD factor; externalizing literature supports shared disinhibitory liability","Substance-specific pharmacology/toxicity and exposure create etiologic distinctions; dependence severity is dimensional",Separate substance-specific disease effects from shared addiction liability and treatment states
MI007,MI000,Externalizing/disinhibition/antagonism,DIMENSION_OR_SPECTRUM,PARTIALLY_SUPPORTED,"Large psychometric literature supports disinhibited and antagonistic externalizing spectra","Not identical to the five-factor genomic solution and may partly reflect behavior/personality rather than disease biology",Test genetic neurocognitive and longitudinal convergence
MI008,MI000,General psychopathology p-factor,DIMENSION_OR_SPECTRUM,PROVISIONAL,"General covariance factor repeatedly appears across symptom datasets and has neurobiological correlates","Meaning of p is contested and can depend on measurement/model specification; not a disease entity",Use criterion-validation and longitudinal prediction rather than treat p as ontology
MI009,MI000,Cross-cutting biological endotypes/biotypes,BIOLOGICAL_SUBTYPE_OR_ENDOTYPE,PROVISIONAL,"Schizophrenia B-SNIP-like Biotypes and MDD-wide candidate endotypes cross legacy diagnoses or treatment boundaries","Most are not yet decision-grade; replication and treatment-by-endotype utility remain incomplete",Search transdiagnostic multi-omic/imaging/EEG/immune endotypes across all major disorders
MI010,MI000,Symptom cognitive and behavioral dimensions,DIMENSION_OR_SPECTRUM,PARTIALLY_SUPPORTED,"Psychosis internalizing externalizing cognition detachment and related dimensions recur across diagnostic boundaries","Exact number and hierarchy of dimensions differs by instrument population and developmental stage",Derive dimensions from pooled symptoms without forcing DSM groupings
MI011,MI000,Developmental/course trajectories and stages,DISEASE_STAGE,PROVISIONAL,"Depression and schizophrenia runs both show clinically meaningful course and stage components","No universal stage system currently spans all psychiatric illness",Build lifespan trajectory layer independently of diagnosis
MI012,MI000,Treatment-response states,TREATMENT_RESPONSE_STATE,PARTIALLY_SUPPORTED,"TRS supported; TRD partially supported; resistance constructs require adequate exposure and pseudoresistance control","Treatment-response states are downstream of treatment opportunity and may contain multiple mechanisms",Generalize R01/R02 across medication psychotherapy neuromodulation and substance-use treatment
MI013,MI000,Legacy DSM/ICD diagnoses,OPERATIONAL_CLINICAL_CATEGORY,PARTIALLY_SUPPORTED,"Diagnoses retain communication prognostic service and treatment utility","Biological boundaries often overlap and some syndromes are internally heterogeneous",Test each diagnosis family and retain operational status unless stronger ontology emerges
MI014,MI000,Social environmental and health-system context,COMPOSITE_MULTIAXIAL,PARTIALLY_SUPPORTED,"Context changes risk expression course access treatment exposure and probability of resistance labels","Context is not intrinsic evidence for disease ontology",Represent context as modifier/confounder rather than diagnostic branch
