record_id,study_family_id,citation,doi,pmid,registry_id,design,population,trd_definition,treatment_exposure,comparator,outcome,effect_estimate,uncertainty,prespecified_status,risk_of_bias_tool,risk_of_bias_judgment,replication_status,missing_evidence_risk,funding,conflicts,model_relation
R001,SF001,Uher et al. An Inflammatory Biomarker as a Differential Predictor of Outcome of Depression Treatment With Escitalopram and Nortriptyline. Am J Psychiatry. 2014,10.1176/appi.ajp.2014.14010094,,ISRCTN03693000,randomized open-label multicenter treatment trial biomarker secondary analysis,241 adults with MDD,Not a TRD cohort; predicts differential response before one treatment course,Escitalopram vs nortriptyline,Active drug comparator,MADRS change by baseline CRP,CRP-by-drug interaction beta 3.27,95% CI 1.65 to 4.89,Secondary biomarker analysis; exact prospective CRP hypothesis prespecification not established in pilot,RoB2 plus secondary-biomarker screen,Some concerns for post hoc biomarker interpretation,Parent study family; companion GENDEP publications not independent,Moderate,UNKNOWN,UNKNOWN,H3 support; treatment interaction not H1 proof
R002,SF001,Cattaneo et al. Candidate genes expression profile associated with antidepressants response in the GENDEP study. Neuropsychopharmacology. 2013,,22990943,ISRCTN03693000,GENDEP biomarker substudy,74 MDD participants,Not TRD; baseline predictors of response,Escitalopram or nortriptyline,Responders vs nonresponders,Inflammatory mRNA levels and treatment response,Nonresponders had higher IL-1beta MIF and TNF-alpha mRNA,Reported percent differences in source abstract,Secondary exploratory biomarker analysis,Domain biomarker checklist,Some concerns due multiplicity and small subset,COMPANION_SAME_FAMILY,Moderate,UNKNOWN,UNKNOWN,H3 support but not independent replication
R003,SF002,Jha et al. Can C-reactive protein inform antidepressant medication selection in depressed outpatients? Findings from CO-MED. Psychoneuroendocrinology. 2017,,28187400,NCT00590863,secondary biomarker analysis of randomized trial,Depressed outpatients in CO-MED,Not TRD; initial treatment strategies,Escitalopram monotherapy vs antidepressant combinations,Treatment arms,Remission by baseline CRP,Qualitative treatment-moderation signal,See source article,Secondary analysis; inflammation guidance not original parent trial primary aim,RoB2 plus secondary-biomarker screen,Some concerns,Parent biomarker analysis; other CO-MED immune papers are companions,Moderate,NIMH parent trial,UNKNOWN,H3 support and H4 context
R004,SF003,Chin-Fatt et al. Sex differences in association of baseline CRP and acute-phase treatment outcomes in MDD: EMBARC. 2019,,30959227,NCT01407094,secondary biomarker analysis of randomized sertraline-placebo trial,220 MDD participants with baseline plasma,Not TRD; prospective acute treatment response,Sertraline vs placebo,Sex and treatment groups,HAMD change by CRP,Overall baseline-to-week-8 association not significant; effect limited to females in reported analysis,p overall 0.348 for CRP-change association,Secondary analysis in prospectively biosignature-focused parent trial,RoB2 plus moderator-analysis screen,Some concerns due subgroup dependence,Parent EMBARC family; later immune publications non-independent,Moderate,NIMH-related parent study,UNKNOWN,Challenges universal predictor; supports H3 heterogeneity
R005,SF005,Chamberlain et al. Treatment-resistant depression and peripheral C-reactive protein. Br J Psychiatry. 2019,10.1192/bjp.2018.66,29764522,,cross-sectional multi-group observational study,102 TRD; 48 treatment-responsive MDD; 48 untreated depressed; 54 healthy controls,Established TRD at biomarker measurement,Prior antidepressant treatment exposure differs by group,TRD vs responsive vs untreated vs healthy,Peripheral hs-CRP and phenotype,BMI-corrected CRP higher in TRD vs healthy Cohen d 0.47,p=0.007,Cross-sectional hypothesis; temporality unavailable,ROBINS-E,High concern for causal/temporal inference despite covariate adjustment,Independent family for enrichment not prediction,Moderate,Industry and academic affiliations present; exact funding requires full extraction,Several authors had industry affiliations,H2/H3/H0 compatible; not H1 proof
R006,SF004,Raison et al. Randomized controlled trial of infliximab for treatment-resistant depression. JAMA Psychiatry. 2013,,22945416,NCT00463580,double-blind placebo-controlled RCT,60 medically stable outpatients with TRD,Moderate treatment resistance by Massachusetts General Hospital staging,Infliximab or placebo with stable/absent concomitant antidepressants,Infliximab vs placebo,HAM-D change and baseline inflammatory moderation,No overall treatment effect; treatment-time-log CRP interaction p=0.01; high-CRP response 62% vs 33%,High-CRP response comparison p=0.19,CRP subgroup listed as secondary in registry; exact historical timing requires record-history audit,RoB2 plus subgroup-analysis screen,Some concerns for small subgroup and multiplicity,Parent family; metabolic companion papers non-independent,Moderate,UNKNOWN in pilot,UNKNOWN in pilot,H3 treatment-modifier support; contradicts generalized immune-treatment efficacy
R007,SF006,Foley et al. Interleukin 6 as a Treatment Target for Depression: A Proof-of-Concept Randomized Clinical Trial. JAMA Psychiatry. 2026,10.1001/jamapsychiatry.2026.1053,,ISRCTN16942542,double-blind placebo-controlled proof-of-concept RCT,30 difficult-to-treat depressed adults with repeated hs-CRP elevation and somatic symptoms,Difficult-to-treat depression despite antidepressant treatment,Tocilizumab single infusion vs saline,Tocilizumab vs placebo,Primary somatic symptoms day 14; secondary total depression; exploratory moderators,Primary adjusted mean difference -0.12,95% CI -2.51 to 2.28,Protocol and SAP available; hs-CRP enrichment prespecified for eligibility,RoB2,Low-to-some concerns for internal validity; severe imprecision due small sample,Independent family but not confirmatory,Low-to-moderate missing evidence; publication complete but underpowered,Academic/NIHR-MRC context reported,Article disclosures require full extraction,H3 mechanistic support with major imprecision
R008,SF007,Inflammatory biomarkers as predictors for unlocking antidepressant efficacy: prospective longitudinal Qatar study. 2025,,40447149,,prospective longitudinal cohort,123 MDD outpatients,Not TRD; predicts acute response,Baseline and longitudinal standard inflammatory markers,Responders vs nonresponders,12-week antidepressant response,CRP NLR MLR PLR did not predict treatment response,See article,Prospective observational,ROBINS-E,Moderate concerns including treatment heterogeneity,Independent contradictory family,UNKNOWN,UNKNOWN,UNKNOWN,H0/H3 heterogeneity; contradicts universal CRP predictor
R009,SF008,Baseline Serum Levels of Beclin-1 but Not Inflammatory Factors May Predict Antidepressant Treatment Response in Chinese Han Patients With MDD. 2019,,31244689,,small prospective treatment cohort,40 MDD patients,Not TRD,SSRI/SNRI for 8 weeks,Responders vs nonresponders,Treatment response by baseline CRP IL-1beta IL-6,Inflammatory factors not predictive in reported conclusion,Small sample and wide uncertainty likely,Prospective exploratory,ROBINS-E plus biomarker checklist,High imprecision and multiplicity concerns,Independent contradictory family,UNKNOWN,UNKNOWN,UNKNOWN,H0/H3 heterogeneity; contradictory evidence
R010,SF009,Strawbridge et al. Inflammation and clinical response to treatment in depression: a meta-analysis. 2015,10.1016/j.euroneuro.2015.06.007,26169573,,systematic review/meta-analysis,35 studies of depressed patients with inflammation measured before/after treatment,Mixed treatment-response definitions,Mixed antidepressant treatments,Responders vs nonresponders,IL-6 TNF-alpha CRP and clinical response,Nonresponders tended toward higher baseline inflammation; persistent TNF-alpha associated with resistance,Study heterogeneity noted,Synthesis predates current standards,ROBIS or AMSTAR2,Not formally completed in pilot; moderate concern due heterogeneity,SYNTHESIS_NOT_INDEPENDENT_OF_COMPONENTS,UNKNOWN,UNKNOWN,UNKNOWN,Convergent support for H3/H2
R011,SF011,Hummad et al. The Role of Inflammatory Markers as Predictors of Response to Antidepressants in MDD: A Meta-Analysis. Cureus. 2026,10.7759/cureus.107728,42205644,,systematic review/meta-analysis,17 reported studies n=1535,Mixture of MDD response and TRD-related evidence,Mixed standard antidepressant and at least one immune-targeting TRD trial,Elevated vs normal inflammation / responders vs nonresponders,Pooled antidepressant nonresponse,OR 2.11; CRP subgroup OR 2.47,95% CI 1.84-2.43 for overall; I2 15%,Protocol developed a priori but not registered in PROSPERO,ROBIS or AMSTAR2 plus study-family audit,High concern for use as confirmatory evidence until reanalysis,REQUIRES_STUDY_FAMILY_DEDUPLICATION,Moderate-to-high,No financial support declared,Authors declared no relevant financial relationships,H3/H2 apparent support but CB4 blocks confirmatory interpretation
R012,SF012,Altered Cytokine Levels in First Episode MDD and Antidepressant-Naive Patients: systematic review and meta-analysis. 2025,,41226404,,systematic review/meta-analysis,17 studies 1371 MDD patients in first-episode or drug-naive comparisons,Not TRD; early untreated disease state,None or minimal antidepressant exposure,MDD vs healthy controls,Cytokine levels before substantial treatment exposure,Elevated several cytokines including IL-6 and TNF-alpha in early untreated MDD,Effect estimates vary by cytokine and specimen,PRISMA review; registration status not established in pilot,ROBIS or AMSTAR2,Not formally completed in pilot,SYNTHESIS_CONTEXT_NOT_TRD_PREDICTION,UNKNOWN,UNKNOWN,UNKNOWN,Shows inflammation can precede treatment exposure but does not distinguish future TRD; challenges H1 specificity
